id,x,y
0,250,0
1,0,1000
2,10,1000
3,20,1000
4,30,1000
5,40,1000
6,50,1000
7,60,1000
8,70,1000
9,80,1000
10,90,1000
11,100,1000
12,110,1000
13,120,1000
14,130,1000
15,140,1000
16,150,1000
17,160,1000
18,170,1000
19,180,1000
20,190,1000
21,200,1000
22,210,1000
23,220,1000
24,230,1000
25,240,1000
26,250,1000
27,260,1000
28,270,1000
29,280,1000
30,290,1000
31,300,1000
32,310,1000
33,320,1000
34,330,1000
35,340,1000
36,350,1000
37,360,1000
38,370,1000
39,380,1000
40,390,1000
41,400,1000
42,410,1000
43,420,1000
44,430,1000
45,440,1000
46,450,1000
47,460,1000
48,470,1000
49,480,1000
50,490,1000
51,750,0
52,500,1000
53,510,1000
54,520,1000
55,530,1000
56,540,1000
57,550,1000
58,560,1000
59,570,1000
60,580,1000
61,590,1000
62,600,1000
63,610,1000
64,620,1000
65,630,1000
66,640,1000
67,650,1000
68,660,1000
69,670,1000
70,680,1000
71,690,1000
72,700,1000
73,710,1000
74,720,1000
75,730,1000
76,740,1000
77,750,1000
78,760,1000
79,770,1000
80,780,1000
81,790,1000
82,800,1000
83,810,1000
84,820,1000
85,830,1000
86,840,1000
87,850,1000
88,860,1000
89,870,1000
90,880,1000
91,890,1000
92,900,1000
93,910,1000
94,920,1000
95,930,1000
96,940,1000
97,950,1000
98,960,1000
99,970,1000
100,980,1000
101,990,1000
