id,x,y
0,0,0
1,20,0
2,40,0
3,60,0
4,80,0
5,100,0
6,120,0
7,140,0
8,160,0
9,180,0
10,200,0
11,220,0
12,240,0
13,260,0
14,280,0
15,300,0
16,320,0
17,340,0
18,360,0
19,380,0
20,400,0
21,420,0
22,440,0
23,460,0
24,480,0
25,500,0
26,520,0
27,540,0
28,560,0
29,580,0
30,600,0
31,620,0
32,640,0
33,660,0
34,680,0
35,700,0
36,720,0
37,740,0
38,760,0
39,780,0
40,800,0
41,820,0
42,840,0
43,860,0
44,880,0
45,900,0
46,920,0
47,940,0
48,960,0
49,980,0
50,20,1000
51,40,1000
52,60,1000
53,80,1000
54,100,1000
55,120,1000
56,140,1000
57,160,1000
58,180,1000
59,200,1000
60,220,1000
61,240,1000
62,260,1000
63,280,1000
64,300,1000
65,320,1000
66,340,1000
67,360,1000
68,380,1000
69,400,1000
70,420,1000
71,440,1000
72,460,1000
73,480,1000
74,500,1000
75,520,1000
76,540,1000
77,560,1000
78,580,1000
79,600,1000
80,620,1000
81,640,1000
82,660,1000
83,680,1000
84,700,1000
85,720,1000
86,740,1000
87,760,1000
88,780,1000
89,800,1000
90,820,1000
91,840,1000
92,860,1000
93,880,1000
94,900,1000
95,920,1000
96,940,1000
97,960,1000
98,980,1000
99,1000,1000
