id,x,y
0,0,0
1,0,40
2,0,80
3,0,120
4,0,160
5,0,200
6,0,240
7,0,280
8,0,320
9,0,360
10,0,400
11,0,440
12,0,480
13,0,520
14,0,560
15,0,600
16,0,640
17,0,680
18,0,720
19,0,760
20,0,800
21,0,840
22,0,880
23,0,920
24,0,960
25,0,1000
26,40,1000
27,80,1000
28,120,1000
29,160,1000
30,200,1000
31,240,1000
32,280,1000
33,320,1000
34,360,1000
35,400,1000
36,440,1000
37,480,1000
38,520,1000
39,560,1000
40,600,1000
41,640,1000
42,680,1000
43,720,1000
44,760,1000
45,800,1000
46,840,1000
47,880,1000
48,920,1000
49,960,1000
50,1000,1000
51,1000,960
52,1000,920
53,1000,880
54,1000,840
55,1000,800
56,1000,760
57,1000,720
58,1000,680
59,1000,640
60,1000,600
61,1000,560
62,1000,520
63,1000,480
64,1000,440
65,1000,400
66,1000,360
67,1000,320
68,1000,280
69,1000,240
70,1000,200
71,1000,160
72,1000,120
73,1000,80
74,1000,40
75,1000,0
76,960,0
77,920,0
78,880,0
79,840,0
80,800,0
81,760,0
82,720,0
83,680,0
84,640,0
85,600,0
86,560,0
87,520,0
88,480,0
89,440,0
90,400,0
91,360,0
92,320,0
93,280,0
94,240,0
95,200,0
96,160,0
97,120,0
98,80,0
99,40,0
